ASSEMBLY_STR,PDB_COMPLEX_ID,ASSEMBLY_NAME,ASSEMBLY_TYPE,ASSEMBLIES,NUM_ASSEMBLIES,NUM_COMPONENTS,MEDIAN_WT,MAX_WT
P02766_2,PDB-CPX-132337,Transthyretin,homomeric,"1bmz_1,1eta_1,1etb_1,1f86_1,1ijn_2,1soq_2,1ttr_1,1tyr_1,1tz8_2,2f8i_1,2pab_1,3cfm_2,3cfn_2,3cfq_2,3cft_2,3cn0_2,3cn1_2,3cn2_2,3cn3_2,3cn4_2,3cxf_2,3glz_1,3gs0_2,3gs4_2,3gs7_2,3i9i_2,3i9p_2,3ozl_1,4pme_2,5dej_1,7ejq_1,7ejr_1,8ii1_1,8ii2_1,8ii3_1,8ii4_1,8yqd_1,9ff6_1,9ff8_1,9fha_1,9h7g_1,9h7h_1",42,2,28.08,35.79
P02766_4,PDB-CPX-132339,Transthyretin,homomeric,"1bm7_1,1bmz_2,1bz8_1,1bzd_1,1bze_1,1dvq_1,1dvs_1,1dvt_1,1dvu_1,1dvx_1,1dvy_1,1dvz_1,1e3f_1,1e4h_1,1e5a_1,1eta_2,1etb_2,1f41_1,1f86_2,1fh2_1,1fhn_1,1g1o_1,1gko_1,1ict_1,1ict_2,1iii_1,1iik_1,1ijn_1,1qwh_1,1sok_1,1soq_1,1soq_3,1tha_1,1thc_1,1tlm_1,1tsh_1,1tt6_1,1tta_1,1ttb_1,1ttc_1,1ttr_2,1tyr_2,1tz8_1,1tz8_3,1u21_1,1x7s_1,1x7t_1,1y1d_1,1z7j_1,1zcr_1,1zd6_1,2b14_1,2b15_1,2b16_1,2b77_1,2b9a_1,2f7i_1,2f8i_2,2fbr_1,2flm_1,2g3x_1,2g3z_1,2g4e_1,2g4g_1,2g5u_1,2g9k_1,2gab_1,2h4e_1,2noy_1,2pab_2,2qel_1,2qgb_1,2qgc_1,2qgd_1,2qge_1,2rox_1,2roy_1,2trh_1,2try_1,3a4d_1,3a4e_1,3a4f_1,3b56_1,3bt0_1,3cbr_1,3cfm_1,3cfn_1,3cfq_1,3cft_1,3cn0_1,3cn1_1,3cn2_1,3cn3_1,3cn4_1,3cxf_1,3d2t_1,3d7p_1,3dgd_1,3did_1,3djr_1,3djs_1,3djt_1,3djz_1,3dk0_1,3dk2_1,3do4_1,3do4_2,3esn_1,3eso_1,3esp_1,3fc8_1,3fcb_1,3glz_2,3gps_1,3grb_1,3grg_1,3gs0_1,3gs4_1,3gs7_1,3hj0_1,3i9a_1,3i9i_1,3i9p_1,3imr_1,3ims_1,3imt_1,3imu_1,3imv_1,3imw_1,3ipb_1,3ipe_1,3kgs_1,3kgt_1,3kgu_1,3m1o_1,3nee_1,3neo_1,3nes_1,3nex_1,3ng5_1,3ozk_1,3p3r_1,3p3s_1,3p3t_1,3p3u_1,3ssg_1,3tct_1,3tfb_1,3u2i_1,3u2j_1,3w3b_1,4abq_1,4abu_1,4abv_1,4abw_1,4ac2_1,4ac4_1,4act_1,4ank_1,4d7b_1,4der_1,4des_1,4det_1,4deu_1,4dew_1,4fi6_1,4fi7_1,4fi8_1,4hiq_1,4his_1,4hjs_1,4hjt_1,4hju_1,4i85_1,4i87_1,4i89_1,4iiz_1,4ik6_1,4ik7_1,4iki_1,4ikj_1,4ikk_1,4ikl_1,4ky2_1,4l1s_1,4l1t_1,4mas_1,4mrb_1,4mrc_1,4n85_1,4n86_1,4n87_1,4pm1_1,4pme_1,4pmf_1,4pvl_1,4pvm_1,4pvn_1,4pwe_1,4pwf_1,4pwg_1,4pwh_1,4pwi_1,4pwj_1,4pwk_1,4qrf_1,4qxv_1,4qya_1,4tkw_1,4tl4_1,4tl5_1,4tlk_1,4tls_1,4tlt_1,4tlu_1,4tm9_1,4tne_1,4tnf_1,4tng_1,4tq8_1,4tqh_1,4tqi_1,4tqp_1,4wnj_1,4wns_1,4wo0_1,4y9b_1,4y9c_1,4y9e_1,4y9f_1,4y9g_1,4ydm_1,4ydn_1,5a6i_1,5aks_1,5akt_1,5akv_1,5al0_1,5al8_1,5ayt_1,5boj_1,5clx_1,5cly_1,5clz_1,5cm1_1,5cn3_1,5cnh_1,5cr1_1,5dej_2,5dwp_1,5e23_1,5e4a_1,5e4o_1,5en3_1,5ezp_1,5ezp_2,5fo2_1,5fw6_1,5fw6_2,5fw7_1,5fw8_1,5fw8_2,5h0v_1,5h0w_1,5h0x_1,5h0y_1,5h0z_1,5hjg_1,5ihh_1,5jid_1,5jim_1,5jiq_1,5k1j_1,5k1n_1,5l4f_1,5l4i_1,5l4j_1,5l4m_1,5lll_1,5llv_1,5n5q_1,5n62_1,5n7c_1,5nfe_1,5nfw_1,5oq0_1,5ttr_1,5ttr_2,5ttr_3,5tzl_1,5u48_1,5u49_1,5u4a_1,5u4b_1,5u4c_1,5u4d_1,5u4e_1,5u4f_1,5u4g_1,6d0w_1,6e6z_1,6e70_1,6e71_1,6e72_1,6e73_1,6e74_1,6e75_1,6e76_1,6e77_1,6e78_1,6eoy_1,6ep1_1,6fft_1,6fwd_1,6fxu_1,6fzl_1,6gr7_1,6grp_1,6imx_1,6imy_1,6kgb_1,6r66_1,6r67_1,6r68_1,6r6i_1,6sug_1,6suh_1,6ti9_1,6tjn_1,6txv_1,6txw_1,6u0q_1,6xtk_1,7acu_1,7dt3_1,7dt5_1,7dt6_1,7dt8_1,7erh_1,7eri_1,7erj_1,7erk_1,7q3i_1,7q9l_1,7q9n_1,7q9o_1,7qc5_1,7tha_1,7w9q_1,7w9r_1,7wl6_1,7y6j_1,7ybr_1,7ycq_1,7z60_1,8awi_1,8aww_1,8c85_1,8c86_1,8dw5_1,8hej_1,8hy4_1,8i00_1,8i0o_1,8ig1_1,8jnu_1,8jok_1,8jqw_1,8pm8_1,8pm9_1,8pma_1,8pmo_1,8t5x_1,8tdo_1,8u52_1,8ve0_1,8ve1_1,8ve2_1,8ve3_1,8ve4_1,8ve5_1,8ve6_1,8w1n_1,8w2w_1,8w42_1,8w43_1,8w44_1,8w45_1,8w46_1,8w47_1,8w48_1,8wgs_1,8wgt_1,8wgu_1,9h5x_1,9h5y_1,9h7a_1,9h7b_1,9h7c_1,9h7d_1,9h7e_1,9h7f_1,9h7i_1,9h7j_1,9h7k_1,9h7l_1,9h7m_1,9h7n_1,9h7o_1,9h7p_1,9jiq_1,9jir_1,9jis_1,9rsp_1,9rsr_1,9rto_1,9zbv_1",417,4,56.24,72.31
P02766_5,PDB-CPX-132340,Transthyretin,homomeric,"8e7d_1,8e7e_1,8e7h_1,8e7i_1,8e7j_1,8g9r_1,8gbr_1,8tdn_1,9bdm_1,9byn_1,9bzs_1,9d21_1,9d23_1,9d24_1,9d27_1,9d2g_1,9hx3_1",17,5,79.39,79.53
P02766_6,PDB-CPX-132341,Transthyretin,homomeric,"8pke_1,8pkf_1,8pkg_1",3,6,82.75,83.1
P02766_8,PDB-CPX-132343,Transthyretin,homomeric,"7y1i_1,7y1i_2,7y1i_3",3,8,127.5,127.5
P02767_4,PDB-CPX-132347,Transthyretin,homomeric,"1gke_1,1ie4_1,1kgi_1,1kgj_1",4,4,55.7,56.08
"P02768_1,P55899_1,P61769_1",PDB-CPX-132350,nan,heteromeric,"4k71_1,4k71_2,4n0f_1,4n0f_2,4n0f_3,4n0f_4,6qio_1,6qip_1",8,3,108.95,111.14
P02768_2,PDB-CPX-132355,Albumin,homomeric,"3jqz_1,4g03_3,4g04_3",3,2,133.18,133.38
"P02774_1,P68135_1",PDB-CPX-132364,"Actin, alpha skeletal muscle and Vitamin D-binding protein",heteromeric,"1kxp_1,1lot_1,1ma9_1",3,2,93.73,94.29
P02776_4,PDB-CPX-132369,"Platelet factor 4, short form",homomeric,"1f9q_1,1f9r_1,1f9s_1,1pfm_1,1pfn_1,1rhp_1,4r9w_1",7,4,31.19,34.22
P02786_2,PDB-CPX-132381,"Transferrin receptor protein 1, serum form",homomeric,"1cx8_1,1cx8_2,1cx8_3,1cx8_4,2nsu_1,9gh7_1",6,2,145.47,157.71
"P02786_2,P02787_2",PDB-CPX-132382,"Transferrin receptor protein 1, serum form and Serotransferrin",heteromeric,"3s9l_1,3s9l_2,3s9m_1,3s9m_2,3s9n_1,3s9n_2",6,4,301.78,301.78
P02791_24,PDB-CPX-132406,Ferritin light chain,homomeric,"1aew_1,1dat_1,1gwg_1,1hrs_1,1ier_1,1ies_1,1xz1_1,1xz3_1,2g4h_1,2gyd_1,2v2i_1,2v2j_1,2v2l_1,2v2m_1,2v2n_1,2v2o_1,2v2p_1,2v2r_1,2v2s_1,2w0o_1,2z5p_1,2z5q_1,2z5r_1,2za6_1,2za7_1,2za8_1,2zg7_1,2zg8_1,2zg9_1,2zur_1,3af7_1,3af8_1,3af9_1,3f32_1,3f33_1,3f34_1,3f35_1,3f36_1,3f37_1,3f38_1,3f39_1,3fi6_1,3h7g_1,3noz_1,3np0_1,3np2_1,3o7r_1,3o7s_1,3rav_1,3rd0_1,3u90_1,3wvu_1,3wvv_1,3wvw_1,4de6_1,4v1w_1,4z3b_1,5axs_1,5czu_1,5e1u_1,5e2d_1,5erj_1,5erk_1,5gu0_1,5gu1_1,5gu2_1,5gu3_1,5hqo_1,5ix6_1,5lg2_1,5mij_1,5mik_1,6env_1,6enw_1,6fx8_1,6fx9_1,6gxj_1,6hjt_1,6hju_1,6jee_1,6jef_1,6msx_1,6pxm_1,6ra8_1,6rjh_1,6trz_1,6tss_1,6tsx_1,7bd7_1,7bom_1,7bon_1,7eml_1,7emm_1,7ryw_1,7rzn_1,7rzx_1,7vio_1,7vip_1,7viq_1,7vir_1,7vis_1,7vit_1,7viu_1,7w7j_1,8h8l_1,8h8m_1,8h8n_1,8h8o_1,8i6l_1,8i77_1,8i81_1,8i8q_1,8i8u_1,8j0u_1,8j0v_1,8j0w_1,8j0x_1,8j0y_1,8j0z_1,8j10_1,8j11_1,8j16_1,9e6x_1,9kf5_1,9kf7_1,9kf8_1,9kf9_1,9kfa_1,9kkp_1,9kkr_1,9kle_1,9kn7_1,9kn8_1,9kp2_1,9kp5_1,9kp7_1,9kpa_1,9krs_1",138,24,506.4,548.94
P02792_24,PDB-CPX-132408,Ferritin light chain,homomeric,"2ffx_1,2fg4_1,2fg8_1,3kxu_1,5lg8_1,6tr9_1,6ts0_1,6ts1_1,6tsa_1,6tsf_1,6tsj_1,6wx6_1,9bpi_1,9bpj_1,9bpk_1,9bq5_1",16,24,497.88,583.38
P02794_24,PDB-CPX-132413,"Nuclear Ferritin complex, FTH1",homomeric,"1fha_1,2cei_1,2chi_1,2cih_1,2clu_1,2cn6_1,2cn7_1,2fha_1,2iu2_1,2z6m_1,2z6m_2,3ajo_1,3ajp_1,3ajq_1,3erz_1,3erz_2,3es3_1,4dyx_1,4dyy_1,4dyz_1,4dz0_1,4oyn_1,4y08_1,4ykh_1,4zjk_1,5cmq_1,5cmr_1,5jkk_1,5jkl_1,5jkl_2,5jkm_1,5jkm_2,5n26_1,5n27_1,5up7_1,5up8_1,5up9_1,5vtd_1,5xb1_1,5yi5_1,6b8f_1,6b8g_1,6ftv_1,6h6t_1,6h6t_2,6h6u_1,6ipq_1,6j4a_1,6j7g_1,6job_1,6jps_1,6ke2_1,6ke4_1,6m52_1,6m54_1,6wyf_1,6wyg_1,6wyh_1,6z6u_1,6z9e_1,6z9f_1,7a6a_1,7a6b_1,7ck8_1,7ck9_1,7jgk_1,7jgl_1,7jgl_2,7jgm_1,7jgm_2,7jgn_1,7jgn_2,7jgo_1,7jgp_1,7jgq_1,7k26_1,7k3v_1,7k3w_1,7pf1_1,7r5o_1,7rrp_1,7v66_1,7vd8_1,7zg7_1,8a2m_1,8a5n_1,8aav_1,8b7o_1,8cpm_1,8cps_1,8cpt_1,8cpu_1,8cpv_1,8cpw_1,8cpx_1,8dhx_1,8dnp_1,8f49_1,8f4l_1,8hhs_1,8j9l_1,8j9m_1,8jai_1,8kfd_1,8pp2_1,8pp2_2,8pp3_1,8pp3_2,8pp4_1,8pp4_2,8pp5_1,8w92_1,8wb3_1,8wie_1,8wiq_1,8wjf_1,8xwb_1,8y6f_1,9eqc_1,9hq6_1,9jgo_1,9jgp_1,9jiu_1,9jqb_1,9jqc_1,9jqd_1,9jqe_1,9kay_1,9lny_1,9lny_2,9rgh_1,9rgi_1,9rgj_1",133,24,513.81,566.16
"P02818_1,P38435_1",PDB-CPX-132422,Osteocalcin and Vitamin K-dependent gamma-carboxylase,heteromeric,"9bur_1,9bux_1,9l23_1,9mqb_1,9mqc_1,9mqe_1",6,2,102.15,102.93
"P02829_1,Q12449_1",PDB-CPX-132427,ATP-dependent molecular chaperone HSP82 and Hsp90 co-chaperone AHA1,heteromeric,"1usu_1,1usv_1,1usv_2,1usv_3,1usv_4",5,2,49.66,49.73
"P02829_1,Q14318_1",PDB-CPX-132428,Peptidyl-prolyl cis-trans isomerase FKBP8 and ATP-dependent molecular chaperone HSP82,heteromeric,"5mgx_1,5mgx_2,5mgx_3,5mgx_4,5mgx_5,5mgx_6,5mgx_7",7,2,32.81,32.81
P02829_2,PDB-CPX-132430,ATP-dependent molecular chaperone HSP82,homomeric,"1a4h_1,1ah6_1,1ah8_1,1am1_1,1amw_1,1bgq_1,2akp_3,2akp_4,2cgf_1,2wep_1,2weq_1,2wer_1,2wer_2,2xd6_1,2xx2_1,2xx2_2,2xx4_1,2xx5_1,2yga_1,4as9_1,4asa_1,4asf_1,4asg_1,4ce1_1,4ce2_1,4ce3_1,8oxu_1,8oxu_2",28,2,50.32,55.37
P02836_2,PDB-CPX-132437,Segmentation polarity homeobox protein engrailed,homomeric,"1du0_1,1hdd_1,2hdd_1,2hos_1,2hot_1,3hdd_1",6,2,27.82,28.46
P02866_2,PDB-CPX-132443,"Concanavalin-A, 2nd part",homomeric,"1nxd_7,1nxd_8,1qgl_1,3enr_1,3nwk_3,3nwk_4,5z5l_1,5z5l_2,5z5p_1,5z5y_1,8wmg_1,9b34_1,9j1f_1,9j1f_2",14,2,52.14,53.23
P02866_4,PDB-CPX-132445,"Concanavalin-A, 2nd part",homomeric,"1apn_1,1bxh_1,1ces_1,1cjp_1,1cn1_1,1con_1,1cvn_1,1dq6_1,1enq_1,1enr_1,1ens_1,1gic_1,1gkb_1,1hqw_1,1i3h_1,1jbc_1,1jn2_2,1jw6_1,1jw6_2,1nls_1,1nxd_5,1nxd_6,1ona_1,1qny_1,1scr_1,1scs_1,1tei_1,1tei_2,1val_1,1vam_1,1xqn_1,2cna_1,2ctv_1,2enr_1,2uu8_1,2yz4_1,3cna_1,3d4k_1,3nwk_1,3nwk_2,4p9w_1,4p9x_1,4p9y_1,4pf5_1,5cna_1,5o6n_1,5z5n_1,5z5y_2,5zac_1,6xt6_1,7mg1_1,7mg2_1,7mg3_1,7mg4_1,7mg5_1,7mg6_1,7mg7_1,7mg8_1,7mg9_1,7mga_1,7mgb_1,7mgc_1,7mgd_1,8wmk_1,9j1a_1,9j1b_1,9j1c_1,9j1d_1",68,4,103.81,115.7
"P02867_1,P02867_1",PDB-CPX-132447,Lectin beta chain,heteromeric,"1bqp_1,1bqp_2,1rin_2,1rin_3,2ltn_2,2ltn_3",6,2,25.67,25.73
"P02867_2,P02867_2",PDB-CPX-132449,Lectin beta chain,heteromeric,"1bqp_3,1hkd_1,1ofs_1,1rin_1,2ltn_1",5,4,51.46,52.82
"P02870_2,P02870_2",PDB-CPX-132450,Lectin beta chain,heteromeric,"1lem_1,1len_1,1les_1,2lal_1",4,4,51.78,52.26
P02872_4,PDB-CPX-132453,Galactose-binding lectin,homomeric,"1bzw_1,1ciw_1,1cq9_1,1cr7_1,1cr7_2,1qf3_1,1rir_1,1rit_1,1v6i_1,1v6j_1,1v6k_1,1v6l_1,1v6m_1,1v6m_2,1v6n_1,1v6n_2,1v6o_1,1v6o_2,2dv9_1,2dva_1,2dvb_1,2dvd_1,2dvf_1,2dvg_1,2pel_1,2tep_1,6v95_1,6vav_1,6vaw_1,6vc3_1,6vc4_1,6vgf_1",32,4,102.21,112.3
P02876_2,PDB-CPX-132457,Agglutinin isolectin 2,homomeric,"2wgc_1,2wgc_3,9wga_1,9wga_3",4,2,34.94,35.57
"P02879_1,P02879_1",PDB-CPX-132460,Ricin A chain,heteromeric,"2aai_1,3rti_1,3rtj_1,7kbi_1,7kbk_1,7kc9_1,7kc9_2,7kd0_1,7kd2_1,7kdm_1,7kdm_2,7kdu_1,8tfh_1,8tfl_1",14,2,74.64,107.86
"P02879_1,P05387_1",PDB-CPX-132461,Large ribosomal subunit protein P2 and Ricin A chain,heteromeric,"5ddz_1,5gu4_1,5gu4_2",3,2,34.54,34.63
P02879_2,PDB-CPX-132462,Ricin A chain,homomeric,"1ifs_1,1ift_1,1ifu_1,1obs_1,1obt_1,1uq4_1,1uq5_1,2vc3_1,2vc4_1,4huo_2,4hup_2,4hv7_2",12,2,60.13,61.83
"P02881_1,P02882_1",PDB-CPX-132466,Monellin,heteromeric,"1krl_1,1krl_2,3mon_1,3mon_2,3mon_3,3mon_4,4mon_1,4mon_2",8,2,11.12,11.29
P02886_3,PDB-CPX-132472,Discoidin-1 subunit A,homomeric,"2w94_1,2w95_1,2wn2_1,2wn3_1",4,3,87.33,88.14
"P02916_1,P0AEX9_1,P68183_1,P68187_2",PDB-CPX-132480,Maltose ABC transporter complex,heteromeric,"3puv_1,3puw_1,3pux_1,3puy_1,3puz_1,3pv0_1,3rlf_1,4ki0_1",8,5,222.45,224.84
"P02916_1,P68183_1,P68187_2",PDB-CPX-132484,nan,heteromeric,"3fh6_1,3fh6_2,9nqj_1",3,4,169.71,172.39
"P02929_1,P0ABU7_5,P0ABV2_2",PDB-CPX-132496,nan,heteromeric,"9ddo_1,9ddp_1,9ddq_1",3,8,196.38,197.82
"P02929_1,P0ABV2_2",PDB-CPX-132497,Biopolymer transport protein ExbD and Protein TonB,heteromeric,"8p9r_1,8vgc_1,8vgd_1",3,3,19.6,20.68
P02929_2,PDB-CPX-132498,Protein TonB,homomeric,"1ihr_1,1qxx_1,1u07_1",3,2,17.48,20.22
P02930_3,PDB-CPX-132499,Outer membrane protein TolC,homomeric,"1ek9_1,1tqq_1,2vdd_1,2vde_1,2wmz_1,2xmn_1,6wxi_1",7,3,152.01,161.35
P02931_2,PDB-CPX-132506,Outer membrane porin F,homomeric,"2zld_3,3hw9_3,3hwb_3",3,2,79.56,80.95
P02931_3,PDB-CPX-132507,Outer membrane porin F,homomeric,"1bt9_1,1gfm_1,1gfn_1,1gfo_1,1gfp_1,1gfq_1,1hxt_1,1hxu_1,1hxx_1,1mpf_1,1opf_1,1opf_2,2omf_1,2zfg_1,2zld_1,2zld_2,3fyx_1,3hw9_1,3hw9_2,3hwb_1,3hwb_2,3k19_1,3k19_2,3k19_3,3k19_4,3k1b_1,3k1b_2,3poq_1,3pou_1,3pox_1,3pox_2,4d5u_1,4d5u_2,4gcp_1,4gcp_2,4gcq_1,4gcq_2,4gcs_1,4gcs_2,4jfb_1,4jfb_2,4lse_1,4lsf_1,4lsf_2,4lsh_1,4lsh_2,4lsi_1,6wtz_1,6zhp_1,6zhv_1,7fdy_1,8c7l_1,8c7l_2,9j9l_1,9j9m_1,9j9m_2,9j9n_1,9j9n_2,9j9o_1,9j9o_2,9j9p_1",61,3,113.0,136.52
P02941_2,PDB-CPX-132514,Methyl-accepting chemotaxis protein II,homomeric,"1vls_1,1vlt_1,1wat_1,2lig_1",4,2,32.95,37.28
P02942_2,PDB-CPX-132517,Methyl-accepting chemotaxis protein I,homomeric,"1qu7_1,2d4u_1,3atp_1",3,2,39.71,47.52
P02943_3,PDB-CPX-132518,Maltoporin,homomeric,"1af6_1,1mal_1,1mpm_1,1mpn_1,1mpo_1,1mpq_1,8b7v_1",7,3,143.46,144.89
P02945_2,PDB-CPX-132520,Bacteriorhodopsin,homomeric,"3utv_2,3utw_2,3utx_3,3uty_3,4hwl_3,7vso_1",6,2,56.05,62.17
P02945_3,PDB-CPX-132521,Bacteriorhodopsin,homomeric,"1ap9_1,1at9_1,1bm1_1,1brd_1,1brr_1,1brx_1,1c3w_1,1c8r_1,1c8s_1,1dze_1,1e0p_1,1f4z_1,1f50_1,1fbb_1,1fbk_1,1iw6_1,1iw9_1,1ixf_1,1kg8_1,1kg9_1,1kgb_1,1m0k_1,1m0l_1,1m0m_1,1o0a_1,1p8h_1,1p8i_1,1p8u_1,1qhj_1,1qko_1,1qkp_1,1qm8_1,1ucq_1,1vjm_1,1x0i_1,1x0k_1,1x0s_1,2at9_1,2brd_1,2i1x_1,2i20_1,2i21_1,2ntu_1,2ntw_1,2wjk_1,2wjl_1,2zfe_1,2zzl_1,3mbv_1,3ns0_1,3nsb_1,3t45_1,3vhz_1,3vi0_1,4fpd_1,4fpd_2,4md1_1,4md2_1,4ov0_1,4x31_1,4x32_1,4xxj_1,5a44_1,5a45_1,5b6v_1,5b6w_1,5b6x_1,5b6y_1,5b6z_1,5br2_1,5br5_1,5h2h_1,5h2i_1,5h2j_1,5h2k_1,5h2l_1,5h2m_1,5h2n_1,5h2o_1,5h2p_1,5j7a_1,5zil_1,5zim_1,5zin_1,6g7h_1,6g7i_1,6g7j_1,6g7k_1,6g7l_1,6ga1_1,6ga2_1,6ga3_1,6ga4_1,6ga5_1,6ga6_1,6ga7_1,6ga8_1,6ga9_1,6gaa_1,6gab_1,6gac_1,6gad_1,6gae_1,6gaf_1,6gag_1,6gah_1,6gai_1,6rmk_1,6rnj_1,6rph_1,6rqo_1,6rqp_1,7xjc_1,7xjd_1,7xje_1,9f9g_1",116,3,92.73,117.85
"P02976_1,Q51918_1",PDB-CPX-132559,Immunoglobulin G-binding protein A and Gram-positive cocci surface proteins LPxTG domain-containing protein,heteromeric,"5u3d_1,5u5f_1,5u5m_1,5u6a_1",4,2,62.24,62.5
"P02994_1,P32471_1",PDB-CPX-132564,Elongation factor 1-alpha and Elongation factor 1-beta,heteromeric,"1f60_1,1g7c_1,1ije_1,1ijf_1,2b7b_1,2b7c_1,5o8w_1",7,2,60.64,62.09
P03012_4,PDB-CPX-132580,Transposon gamma-delta resolvase,homomeric,"1zr2_1,1zr4_1,2gm4_1,2gm5_1",4,4,124.1,148.78
P03023_2,PDB-CPX-132589,Lactose operon repressor,homomeric,"1cjg_1,1efa_1,1jwl_1,1jwl_2,1jye_1,1jyf_1,1l1m_1,1lbg_1,1lbg_2,1osl_1,2bjc_1,2kei_1,2kej_1,2kek_1,2p9h_1,2paf_1,2pe5_1,2pe5_2",18,2,65.08,90.24
P03023_4,PDB-CPX-132590,Lactose operon repressor,homomeric,"1lbh_1,1lbi_1,1tlf_1,3edc_1,4rzs_1,4rzt_1,8goh_1,8goh_2",8,4,154.84,165.2
P03034_2,PDB-CPX-132596,Repressor protein cI,homomeric,"1lli_1,1lmb_1,1lrp_1,1lrp_2,3bdn_1,3kz3_1",6,2,26.44,64.36
P03040_2,PDB-CPX-132604,Regulatory protein cro,homomeric,"1cop_1,1d1l_1,1d1m_1,2ecs_1,2ovg_1,2ovg_3,4cro_1,4cro_2,4cro_3,5cro_1,5cro_2,6cro_1",12,2,15.42,38.23
P03040_4,PDB-CPX-132606,Regulatory protein cro,homomeric,"1d1l_2,1d1l_3,2ecs_2,5cro_4",4,4,28.88,30.85
P03050_2,PDB-CPX-132615,Transcriptional repressor arc,homomeric,"1arq_1,1arr_1,1b28_1,1myk_1,1myl_1,1myl_2,1myl_3,1nla_1,1qtg_1",9,2,12.48,15.41
P03050_4,PDB-CPX-132616,Transcriptional repressor arc,homomeric,"1baz_1,1bdt_1,1bdv_1,1par_1",4,4,38.47,38.56
P03051_2,PDB-CPX-132618,Regulatory protein rop,homomeric,"1b6q_1,1f4m_1,1f4m_2,1f4m_3,1f4n_1,1gmg_1,1gmg_2,1gto_1,1gto_2,1nkd_1,1rop_1,1rpo_1,1rpr_1,2ijh_1,2ijh_2,2iji_1,2ijj_1,2ijj_2,2ijk_1,3k79_1,4do2_1,7kae_1",22,2,14.43,16.36
P03052_2,PDB-CPX-132622,TrfB transcriptional repressor protein,homomeric,"2n5g_1,2w7n_1,5ckt_2,5clv_1,5clv_2,5clv_3,5clv_4,5cm3_1",8,2,26.52,45.2
"P03069_1,P03069_2",PDB-CPX-132657,General control transcription factor GCN4,heteromeric,"6xne_1,6xnf_1,6xnl_1,6xnm_1",4,3,11.16,11.28
P03069_2,PDB-CPX-132659,General control transcription factor GCN4,homomeric,"1ce9_2,1ce9_3,1dgc_1,1ihq_1,1ysa_1,1zii_1,1zik_1,1zil_1,2ahp_1,2dgc_1,2k8x_1,2zta_1,3azd_1,3i1g_1,3m48_1,4dmd_1,4hu5_1,4hu6_1,4hu6_2,4niz_1,4nj0_1,4nj1_1,4nj2_1,4owi_1,4tl1_1,5iew_1,5iir_1,5iiv_1,6e52_1,6o2e_1,6o2f_1,7a4t_1",32,2,8.14,57.72
"P03069_2,P03069_2",PDB-CPX-132660,General control transcription factor GCN4,heteromeric,"3ck4_1,3ck4_2,3ck4_3,3crp_1",4,4,16.04,16.07
P03069_3,PDB-CPX-132662,General control transcription factor GCN4,homomeric,"1env_1,1gcm_1,1ij0_1,1ij1_1,1ij2_1,1ij3_1,1piq_1,1rb4_1,1rb5_1,1rb6_1,1swi_1,1zij_1,1zim_1,2o7h_1,2o7h_2,2wpy_1,2wpz_1,2wq0_1,2wq1_1,2wq2_1,2wq3_1,3gjp_1,3k7z_1,4c46_1,5app_1,5apq_1,5aps_1,5apt_1,5apu_1,5apv_1,5apv_2,5apw_1,5apx_1,5apy_1,7oaa_1,7oac_1,7oad_1,7oaf_1,7oah_1",39,3,12.59,46.56
P03069_4,PDB-CPX-132663,General control transcription factor GCN4,homomeric,"1ce9_1,1gcl_1,1unt_1,1unu_1,1unv_1,1unw_1,1unx_1,1uny_1,1unz_1,1uo0_1,1uo1_1,1uo2_1,1uo3_1,1uo4_1,1uo5_1,1w5g_1,1w5h_1,1w5i_1,1w5j_1,1w5j_2,1w5k_1,1w5k_2,1w5l_1,2b1f_1,2b22_1,2bni_1,2cce_1,2ccf_1,2ccn_1,2ipz_1,2nrn_1,3crp_2,6e52_2",33,4,16.21,115.45
P03070_2,PDB-CPX-132669,Large T antigen,homomeric,"2if9_1,2ipr_1,2itj_1,2nl8_1,2ntc_1,4fgn_1,5d9i_1",7,2,41.76,44.83
"P03070_2,P52293_1",PDB-CPX-132670,Importin subunit alpha-1 and Large T antigen,heteromeric,"1ejl_1,1q1s_1,1q1t_1",3,3,55.72,55.89
P03070_6,PDB-CPX-132673,Large T antigen,homomeric,"1n25_1,1svl_1,1svm_1,1svo_1,2fuf_1,9evh_1,9evp_1,9exd_1,9f3t_1,9f3u_1,9f5i_1,9f73_1,9f74_1,9f75_1,9f7n_1,9f9n_1,9f9o_1,9f9w_1,9f9x_1,9fa1_1,9fa2_1,9fb0_1,9fb4_1,9fb5_1,9fb6_1,9kae_1,9kak_1",27,6,256.31,495.05
P03072_6,PDB-CPX-132679,Large T antigen,homomeric,"5j40_1,5j47_1,5j4v_1,5j4y_1",4,6,258.09,259.33
"P03079_1,P06241_1",PDB-CPX-132684,Tyrosine-protein kinase Fyn and Middle T antigen,heteromeric,"1aot_1,1aou_1,4u1p_1",3,2,13.77,17.18
"P03081_1,Q76MZ3_1",PDB-CPX-132686,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform and Small t antigen,heteromeric,"2pf4_1,2pf4_2,2pf4_3,2pf4_4",4,2,86.04,86.04
P03088_5,PDB-CPX-132693,Major capsid protein VP1,homomeric,"4mj0_1,4mj1_1,7b69_1,7b69_2,7b6a_1,7b6c_1,7b6c_2,7pa7_1,7pa7_2,7zip_1,8agh_1,8ago_1,8ah0_1,8ah1_1,8ah1_2,9rm2_1",16,5,152.13,408.72
